Method of Travel to Work,Greater Melbourne,Rest of Vic.,No Usual Address (Vic.),Migratory - Offshore - Shipping (Vic.),Greater Brisbane,Rest of Qld,No Usual Address (Qld),Migratory - Offshore - Shipping (Qld),Greater Adelaide,Rest of SA,No Usual Address (SA),Migratory - Offshore - Shipping (SA),Greater Perth,Rest of WA,No Usual Address (WA),Migratory - Offshore - Shipping (WA),Greater Hobart,Rest of Tas.,No Usual Address (Tas.),Migratory - Offshore - Shipping (Tas.),Greater Darwin,Rest of NT,No Usual Address (NT),Migratory - Offshore - Shipping (NT),Australian Capital Territory,No Usual Address (ACT),Migratory - Offshore - Shipping (ACT),Other Territories,No Usual Address (OT),Migratory - Offshore - Shipping (OT),Rest of NSW,No Usual Address (NSW),Migratory - Offshore - Shipping (NSW),Greater Sydney,Total
"Train, car as driver, truck",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
"Train, car as driver, motorbike/scooter",34,4,0,0,12,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,37,104
"Train, car as driver, bicycle",127,14,0,0,35,6,0,0,7,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,61,319
"Train, car as driver, other",169,34,0,0,117,38,0,0,19,5,0,0,67,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,43,0,0,228,734
"Train, car as passenger, truck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
"Train, car as passenger, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18
"Train, car as passenger, bicycle",27,8,0,0,29,4,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,31,123
"Train, car as passenger, other",53,8,0,0,32,23,0,0,5,0,0,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,116,292
"Train, truck, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Train, truck, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
